NIIN,PLANT,COND CODE,QTY,COG,IM Name,LRC
016740020,SDA-DLA DISTRIBUTION ALBANY,H,4,7S,MICHELE HARRIS,BA1
015709746,SDA-DLA DISTRIBUTION ALBANY,P,69,7S,MICHELE HARRIS,BC1
011428115,SDA-DLA DISTRIBUTION ALBANY,F,6,7S,JESSE ESPINOZA,BA4
015556505,SDA-DLA DISTRIBUTION ALBANY,K,1,7S,KATHERINE L CHILDERS,BG1
011429270,SDA-DLA DISTRIBUTION ALBANY,F,3,7S,JESSE ESPINOZA,BA4
016058817,SDA-DLA DISTRIBUTION ALBANY,F,1,7S,MICHELE HARRIS,BA1
016967822,SDA-DLA DISTRIBUTION ALBANY,A,1,7S,MICHELE HARRIS,BA1
015999801,SDA-DLA DISTRIBUTION ALBANY,F,5,7S,JESSE ESPINOZA,BM4
016275994,SDA-DLA DISTRIBUTION ALBANY,A,2,7S,ROOSEVELT KEARNEY,BD1
016505704,SDA-DLA DISTRIBUTION ALBANY,A,2,7S,JESSE ESPINOZA,BM4
011404253,SDA-DLA DISTRIBUTION ALBANY,F,40,7S,JESSE ESPINOZA,BA4
015502615,SDA-DLA DISTRIBUTION ALBANY,A,4,7S,ANDREW PICKENS,BE1
015152495,SDA-DLA DISTRIBUTION ALBANY,A,1,7S,JESSE ESPINOZA,BM3
015158262,SDA-DLA DISTRIBUTION ALBANY,A,8,7S,ANDREW PICKENS,BE2
219118264,SDA-DLA DISTRIBUTION ALBANY,A,4,7S,ANDREW PICKENS,BE1
015158265,MUY-TRAFFIC MANAGEMENT OFFICER,F,7,7S,ANDREW PICKENS,BE2
013985152,SDA-DLA DISTRIBUTION ALBANY,F,1,7S,ROOSEVELT KEARNEY,BD2
015874725,SDA-DLA DISTRIBUTION ALBANY,F,4,7S,MICHELE HARRIS,BC1
016740020,LN1-RAYTHEON COMPANY,A,1,7S,MICHELE HARRIS,BA1
011426779,SDA-DLA DISTRIBUTION ALBANY,F,6,7S,JESSE ESPINOZA,BA4
011420926,SDA-DLA DISTRIBUTION ALBANY,F,3,7S,JESSE ESPINOZA,BA4
011418146,SDA-DLA DISTRIBUTION ALBANY,F,1,7S,JESSE ESPINOZA,BA4
016725423,SDA-DLA DISTRIBUTION ALBANY,A,3,7S,DENE BRASWELL,BB5
015256692,SDN-,F,1,7S,ANDREW PICKENS,BE1
997935005,SDN-,A,6,7S,KATHERINE L CHILDERS,BJ3
014870973,BY6-W1A8 DLA DIST-TOBYANNA,K,518,7S,MICHELE HARRIS,BC2
015210291,MAB-MARINE CORPS LOGISTICS BASE,F,258,7G,MICHELE HARRIS,BC3
016495081,SDA-DLA DISTRIBUTION ALBANY,J,3,7S,MICHELE HARRIS,BC1
015084076,SDA-DLA DISTRIBUTION ALBANY,A,6,7S,BRIDGETT SHEALY,BH1
015044143,MAB-MARINE CORPS LOGISTICS BASE,F,39,7S,MICHELE HARRIS,BC2
011406067,SDA-DLA DISTRIBUTION ALBANY,A,22,7S,JESSE ESPINOZA,BA4
015376441,BY6-W1A8 DLA DIST-TOBYANNA,F,1,7S,ANDREW PICKENS,BE1
011423749,SDA-DLA DISTRIBUTION ALBANY,F,22,7S,JESSE ESPINOZA,BA4
016085362,SDA-DLA DISTRIBUTION ALBANY,K,2,7S,BRIDGETT SHEALY,BL3
015740707,SDA-DLA DISTRIBUTION ALBANY,H,2,7S,ANDREW PICKENS,BE1
200062115,SG2-DLA DISTRIBUTION BARTSOW,A,11,7S,ANDREW PICKENS,BE1
016085936,SDA-DLA DISTRIBUTION ALBANY,H,2,7S,BRIDGETT SHEALY,BH1
012037299,SDA-DLA DISTRIBUTION ALBANY,A,6,7S,BRIDGETT SHEALY,BH1
016617078,SDA-DLA DISTRIBUTION ALBANY,F,4,7S,MICHELE HARRIS,BA1
015981874,SDA-DLA DISTRIBUTION ALBANY,A,12,7S,BRIDGETT SHEALY,BH1
015078762,SDA-DLA DISTRIBUTION ALBANY,F,13,7S,ANDREW PICKENS,BE1
015487056,SDA-DLA DISTRIBUTION ALBANY,F,8,7S,JESSE ESPINOZA,BA3
015980922,LN1-RAYTHEON COMPANY,A,4,7S,MICHELE HARRIS,BA1
016205396,SDA-DLA DISTRIBUTION ALBANY,F,6,7S,ROOSEVELT KEARNEY,BD2
015447811,MUY-TRAFFIC MANAGEMENT OFFICER,F,2,7S,JESSE ESPINOZA,BA4
014925276,SDA-DLA DISTRIBUTION ALBANY,F,4,7S,ROOSEVELT KEARNEY,BD2
015465223,SDA-DLA DISTRIBUTION ALBANY,F,1,7S,JESSE ESPINOZA,BA4
016232900,SDA-DLA DISTRIBUTION ALBANY,F,1,7S,MICHELE HARRIS,BA1
015589420,SDA-DLA DISTRIBUTION ALBANY,F,6,7S,ANDREW PICKENS,BE1
015075778,SDT-DLA DISTRIBUTION DEPOT HILL,F,1,7S,ANDREW PICKENS,BE1
016617078,SDA-DLA DISTRIBUTION ALBANY,A,2,7S,MICHELE HARRIS,BA1
015681158,SDA-DLA DISTRIBUTION ALBANY,A,3,7S,ROOSEVELT KEARNEY,BD2
016275690,BY6-W1A8 DLA DIST-TOBYANNA,A,1,7S,MICHELE HARRIS,BA1
015660376,MUY-TRAFFIC MANAGEMENT OFFICER,H,1,7S,KATHERINE L CHILDERS,BJ1
015589972,BY6-W1A8 DLA DIST-TOBYANNA,H,1,7S,MICHELE HARRIS,BC1
150266564,SG2-DLA DISTRIBUTION BARTSOW,A,5,7S,BRIDGETT SHEALY,BL5
150266573,SG2-DLA DISTRIBUTION BARTSOW,A,5,7S,BRIDGETT SHEALY,BL5
016903155,SDA-DLA DISTRIBUTION ALBANY,F,1,7S,KATHERINE L CHILDERS,BG2
011418146,SDA-DLA DISTRIBUTION ALBANY,H,1,7S,JESSE ESPINOZA,BA4
010922751,SDA-DLA DISTRIBUTION ALBANY,A,1,7S,JESSE ESPINOZA,BA3
011420926,SDA-DLA DISTRIBUTION ALBANY,A,16,7S,JESSE ESPINOZA,BA4
150270893,SG2-DLA DISTRIBUTION BARTSOW,F,12,7S,BRIDGETT SHEALY,BH1
015700066,SDA-DLA DISTRIBUTION ALBANY,A,1,7S,KATHERINE L CHILDERS,BJ1
