NIIN,Plant Code,Qty,Current Month,Street and House Number,City,State,Location
15740721,SDA,53,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15769025,SDA,3,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15785321,SDA,1,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15789775,LN1,1,3/1/2024,BUILDING 1260 DOOR 9,ALBANY,GA,"ALBANY, GA"
15789775,MAB,111,3/1/2024,MARINE CORPS LOGISTICS BASE,ALBANY,GA,"ALBANY, GA"
15789961,SDA,12,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15790876,SDA,1,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15791462,SDA,13,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15791479,SDA,7,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15791581,SDA,6,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15795012,SDA,2,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15795012,SG2,3,3/1/2024,CENTRAL RECEIVING WHSE 7,BARSTOW,CA,"BARSTOW, CA"
15800482,SDA,1,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15805471,BY6,2,3/1/2024,WAREHOUSE 6 BAY 4,TOBYHANNA,PA,"TOBYHANNA, PA"
15805471,LN1,22,3/1/2024,BUILDING 1260 DOOR 9,ALBANY,GA,"ALBANY, GA"
15805471,MAB,1397,3/1/2024,MARINE CORPS LOGISTICS BASE,ALBANY,GA,"ALBANY, GA"
15813199,SDA,8,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15816955,SDA,1,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15817287,BY6,1021,3/1/2024,WAREHOUSE 6 BAY 4,TOBYHANNA,PA,"TOBYHANNA, PA"
15817287,MAB,1066,3/1/2024,MARINE CORPS LOGISTICS BASE,ALBANY,GA,"ALBANY, GA"
15821343,BY6,288,3/1/2024,WAREHOUSE 6 BAY 4,TOBYHANNA,PA,"TOBYHANNA, PA"
15822297,SDA,6,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15822495,BY6,4,3/1/2024,WAREHOUSE 6 BAY 4,TOBYHANNA,PA,"TOBYHANNA, PA"
